company,1,n1
company,2,n2
company,3,n3
cargo,1,1
cargo,2,1
cargo,3,1
cargo,4,2
cargo,1000,2
cargo,1001,2
cargo,1002,2
cargo,1003,2
cargo,1004,2
cargo,1005,2
cargo,1006,2
cargo,1007,2
cargo,1008,2
cargo,1009,2
cargo,1010,2
cargo,1011,2
cargo,1012,2
cargo,1013,2
cargo,1014,2
cargo,1015,2
cargo,1016,2
cargo,1017,2
cargo,1018,2
cargo,1019,2
cargo,1020,2
cargo,1021,2
cargo,1022,2
cargo,1023,2
cargo,1024,2
cargo,1025,2
cargo,1026,2
cargo,1027,2
cargo,1028,2
cargo,1029,2
cargo,1030,2
cargo,1031,2
cargo,1032,2
cargo,1033,2
cargo,1034,2
cargo,1035,2
cargo,1036,2
cargo,1037,2
cargo,1038,2
cargo,1039,2
cargo,1040,2
cargo,1041,2
cargo,1042,2
cargo,1043,2
cargo,1044,2
cargo,1045,2
cargo,1046,2
cargo,1047,2
cargo,1048,2
cargo,1049,2
cargo,1050,2
cargo,1051,2
cargo,1052,2
cargo,1053,2
cargo,1054,2
cargo,1055,2
cargo,1056,2
cargo,1057,2
cargo,1058,2
cargo,1059,2
cargo,1060,2
cargo,1061,2
cargo,1062,2
cargo,1063,2
cargo,1064,2
cargo,1065,2
cargo,1066,2
cargo,1067,2
cargo,1068,2
cargo,1069,2
cargo,1070,2
cargo,1071,2
cargo,1072,2
cargo,1073,2
cargo,1074,2
cargo,1075,2
cargo,1076,2
cargo,1077,2
cargo,1078,2
cargo,1079,2
cargo,1080,2
cargo,1081,2
cargo,1082,2
cargo,1083,2
cargo,1084,2
cargo,1085,2
cargo,1086,2
cargo,1087,2
cargo,1088,2
cargo,1089,2
cargo,1090,2
cargo,1091,2
cargo,1092,2
cargo,1093,2
cargo,1094,2
cargo,1095,2
cargo,1096,2
cargo,1097,2
cargo,1098,2
cargo,1099,2
cargo,1100,2
cargo,1101,2
cargo,1102,2
cargo,1103,2
cargo,1104,2
cargo,1105,2
cargo,1106,2
cargo,1107,2
cargo,1108,2
cargo,1109,2
